Decrepit Birth,Diminishing Between Worlds,https://www.youtube.com/playlist?list=OLAK5uy_k-WVOFIOJEsaBcliJeZNUii-szoJVINmU
Decrepit Birth,Axis Mundi,https://www.youtube.com/playlist?list=OLAK5uy_kggwzIaapFp8kH-2KafeKvD4D96kVMheA
Decrepit Birth,Polarity,https://www.youtube.com/playlist?list=OLAK5uy_mfAaWj5wMMinXB_sA9SPTLj5rFQigPwJ0
Decrepit Birth,And Time Begins,https://www.youtube.com/playlist?list=OLAK5uy_lZHPhzmwZC6l7ppc-Dh8C4XAuO8sZKJxk
Book Of Love,Book Of Love,https://www.youtube.com/playlist?list=OLAK5uy_kfNUzyyBiPgaETnVw3Ua88KkUldK_xDpE
Ulcerate,Stare Into Death And Be Still,https://www.youtube.com/playlist?list=OLAK5uy_nDbXDvO0YEYOlrnVmXLyKt-LMz5hmO3EI
D.R.I.,Thrash Zone,https://www.youtube.com/playlist?list=OLAK5uy_nvJ6DNLfdL_dLHjac0_5SfS46Ldx7uIxw
Children of Bodom,Something Wild,https://www.youtube.com/playlist?list=OLAK5uy_mYElMW02La0jvdldNimWBDZMvqP0dOU0c
Children of Bodom,Hatebreeder,https://www.youtube.com/playlist?list=OLAK5uy_kH6cm2W5qCAzm32D9R3O5sCawswcfcHvM
Children of Bodom,Follow the Reaper,https://www.youtube.com/playlist?list=OLAK5uy_laHOpmO22mf4Qy4hgFFeS6dChxLxIZQak
Children of Bodom,Hate Crew Deathroll,https://www.youtube.com/playlist?list=OLAK5uy_kPseqjwbzL93nrLnLCGAezJmKfNbVFMdc
Children of Bodom,Are You Dead Yet,https://www.youtube.com/playlist?list=OLAK5uy_lVstVikVqDzHC55bnMxq2YN3mj6gnKz18
Children of Bodom,Blooddrunk,https://www.youtube.com/playlist?list=OLAK5uy_m-22TX4nMDMioU-CLbg31ezSkeLqmRJG4
Children of Bodom,Relentless Reckless Forever,https://www.youtube.com/playlist?list=OLAK5uy_kVkEJC7GpemSx5Hljib4BRl7UDVFB9-pk
Children of Bodom,Halo of Blood,https://www.youtube.com/playlist?list=OLAK5uy_kuM4S33HxwJFIr6WyUtD9SxUb4oCw44CY
Children of Bodom,I Worship Chaos,https://www.youtube.com/playlist?list=OLAK5uy_lhMzLOL8ntiVXIObGOrBL-Jtf90WtPjls
Children of Bodom,Hexed,https://www.youtube.com/playlist?list=OLAK5uy_kUG7M0ShfYC65LVFGQc-Kx6THYzDEVSQE
Embrace,Embrace,https://www.youtube.com/playlist?list=PLD5q17_DW09ELSnNLoMaaXcvHQO3HhB99
Embraced,Within,https://www.youtube.com/playlist?list=OLAK5uy_nEYT8zlkMEZoL0wvj4Uo4MVEPVMtOzN2I
Decapitated,Winds of Creation,https://www.youtube.com/playlist?list=OLAK5uy_lkGtbXmdnos8YXC-QTX6soAOr4lT0R2uU
Decapitated,Nihility,https://www.youtube.com/watch?v=RF9-eNAwBwo&list=OLAK5uy_lxywsoc4cPUEU1KklxJ05GBd9fzeEsgoo
Decapitated,Carnival is Forever,https://www.youtube.com/playlist?list=OLAK5uy_nw35wmwMcvWPr_EwS77hsQb7mkwjACVks
Nocturnus,Thresholds,https://www.youtube.com/playlist?list=OLAK5uy_ml2WBc1AfjWCirnBqLwUYMl1DJ1Wz7FFA
Nocturnus,The Key,https://www.youtube.com/playlist?list=OLAK5uy_nnqSqB-e4hZraasJ1mAXT4kM7_tSrJj8A
Pestilence,Malleus Maleficarum,https://www.youtube.com/playlist?list=OLAK5uy_n6y9Gze7ZWZ-X3O7jdUnV292foe5AwVUs
Pestilence,Consuming Impulse,https://www.youtube.com/playlist?list=OLAK5uy_mY7LbyDnDqk2C32Qd96aieGE0yxmyfAA4
Pestilence,Testimony Of The Ancients,https://www.youtube.com/playlist?list=OLAK5uy_mFQWh-p0ev4Q5xJRH5syKPs86eiuDlU5I
Pestilence,Spheres,https://www.youtube.com/playlist?list=OLAK5uy_mFUyJZ1-aM-Ivm_lDWrfT8Z01HAffn-A4
Bloodbath,The Fathomless Mastery,https://www.youtube.com/playlist?list=OLAK5uy_mFJVKJbZndJaAh420XO6KWdEo8ywer_-s
Men I Trust,Untourable,https://www.youtube.com/playlist?list=PLp9ta73sprU4AR94k8TiS8da2KyDu-DUi
Men I Trust,Oncle Jazz,https://www.youtube.com/watch?v=TQnHlYNU__I&list=PLp9ta73sprU4yqfFSdhPtZWkNh57sa-oH
Men I Trust,Headroom,https://www.youtube.com/playlist?list=PLp9ta73sprU6XHeGFn7HUDHE7UmpdIO_8
Men I Trust,Men I Trust,https://www.youtube.com/playlist?list=OLAK5uy_nSiUeYVtjkLsW18M-Dg5OVrZJJJQ6hdCo
Men I Trust,Lauren,https://www.youtube.com/playlist?list=OLAK5uy_lpjCgZUer6Y1bsGoqUSmMeEyetZkqyCBY
Kayo Dot,Choirs of the Eye,https://www.youtube.com/watch?v=l9zuKR3_quw&t=112s
Kayo Dot,Choirs of the Eye,https://www.youtube.com/playlist?list=OLAK5uy_l4UeM5Gq4voyB7hyRVvbIpkHw3Hb0xENI
Kayo Dot,Coyote,https://www.youtube.com/playlist?list=OLAK5uy_kcH4XFcPnOFsM0fv_RfoIYMA2Ev0AWiM4
Kayo Dot,Gamma Knife,https://www.youtube.com/playlist?list=OLAK5uy_m8BGdNDKfPB29ke6JRA7TiYGn26md3MPU
Kayo Dot,Moss Grew on the Swords and Plowshares Alike,https://www.youtube.com/playlist?list=OLAK5uy_mGs_ShB5CCJwtwrxVcqOL-22T0UvEAKPw
Kayo Dot,Blasphemy,https://www.youtube.com/playlist?list=OLAK5uy_l8xFJvrEve6QgDmq5Z2rgrFKlxi5fMFAI
Kayo Dot,Plastic House on Base of Sky,https://www.youtube.com/playlist?list=OLAK5uy_ll7Pq_UORDEYA2B0SfnwxFxy1-ziwdZRc
Kayo Dot,Coffins on lo,https://www.youtube.com/playlist?list=OLAK5uy_lVRv2ZHJBMHrr00Huj82XR9NTKzAwTghQ
Kayo Dot,Hubardo,https://www.youtube.com/playlist?list=OLAK5uy_mH3Tij57VLgunEYzMLbxyMOmoe7rwvwgQ
Kayo Dot,Blue Lambency Downward,https://www.youtube.com/playlist?list=OLAK5uy_mbPE22C4OeyD2tjSaWzgfEFY9PjzAAN0Q
Kayo Dot,Downing Anemone with Copper Tongue,https://www.youtube.com/playlist?list=OLAK5uy_m846BZQ5VKOZ89dmqhHD9xPaJJhsbrW3U
Maudlin of the Well,Leaving Your Body Map,https://www.youtube.com/playlist?list=OLAK5uy_np8TyZCQzhQrul_eYs7IJZrmNOsPwT4k0
Maudlin of the Well,Bath,https://www.youtube.com/playlist?list=OLAK5uy_ls-lDKUCL4_vfomfIF4hBJFfKOIwnnQac
Maudlin of the Well,Part the Second,https://www.youtube.com/playlist?list=OLAK5uy_nYyjbdrnSA6PYLXIEx-SvfusVsRbhKUAw
Maudlin of the Well,My Fruit Psychobells...A Seed Combustible,https://www.youtube.com/playlist?list=PL0YHhm1LxfN5L9tmbXmL7o2WELrz0dzKu
Kings of Convenience,Riot on an Empty Street,https://www.youtube.com/playlist?list=OLAK5uy_mMsT8_GI_SuEeVtOaG6GAF3tHbDvpq0zM
Kings of Convenience,Quiet is the New Loud,https://www.youtube.com/playlist?list=OLAK5uy_mUUz9hAgrl9DA7_KUBgaJI2KaKOmpu-54
Kings of Convenience,Peace or Love,https://www.youtube.com/playlist?list=OLAK5uy_mLTTHVSGgEDMIYkDf5ubD-oft7f4ykb24
Frederic Chopin,Chopin: Nocturnes - Francois Chaplin,https://www.youtube.com/playlist?list=OLAK5uy_ltKS5aE5Jx9f3bK8g6rrBvn6tbRZJnPX0
J.S. Bach,Sonatas & Partitas for Lute,https://www.youtube.com/watch?v=pTBooio3h9U&t=4605s
J.S. Bach,Sonatas & Partitas for Classical Guitar,https://www.youtube.com/watch?v=JN22ATDxOwQ&t=4067s
Sarpanitum,Blessed Be My Brothers,https://www.youtube.com/playlist?list=OLAK5uy_nBbww2J2zOJA_FbpJn9QodWU2oR1qLewM
Sarpanitum,Fidelium,https://www.youtube.com/playlist?list=OLAK5uy_lt5sBKCJGDOHiNIkdOnvMuUp2drQk31Qs
Gargoyl,Gargoyl,https://www.youtube.com/playlist?list=OLAK5uy_nwiqlui6T9L75coivVnrVPxRjp22LDvEk
Gargoyl,Asomatous,https://www.youtube.com/playlist?list=OLAK5uy_l7C3XaWXOQ1-O4OFRGOvCHXh8FqkboxEQ
Mithras,On Strange Loops,https://www.youtube.com/playlist?list=PLOJAVu3YRRFDCTCPu6MTw_Bxalx_u4nm9
Georgie Sweet,Misunderstood,https://www.youtube.com/playlist?list=OLAK5uy_lj7Q1JSgP3JAoxJggGlPZP7bEdEd3qHgs
Entombed,Wolverine Blues,https://www.youtube.com/playlist?list=OLAK5uy_kjUtmpaFLv84qbvgyvn0Mm26Tr-xVOeJw
Entombed,Clandestine,https://www.youtube.com/playlist?list=OLAK5uy_kGwvcRlUzSWwOZAUmpJbQr0iNBiu6tw-E
Pyrexia,System of the Animal 25,https://www.youtube.com/playlist?list=OLAK5uy_kT8BaRLUJsP6zu-Di1OZOiX-1_MRJQK7s
Pyrexia,Sermon of Mockery,https://www.youtube.com/playlist?list=OLAK5uy_n3nGIDnF1jm4KxKKJmVKVNdp2Oj3PJN4E
Owen Pallet,He Poos Clouds,https://www.youtube.com/playlist?list=OLAK5uy_lnGhRcHpSIPY4SrDavR0B16CjiSsHBibg
Suffocation,Human Waste,https://www.youtube.com/playlist?list=OLAK5uy_n9Jq298N7jliB0FHrbshYAYbzWYGtlpPM
Suffocation,Pierced From Within,https://www.youtube.com/playlist?list=OLAK5uy_n_4XS_eshy5ugzJBPm-PKOthuQuB6tqZA
Suffocation,Effigy of the Forgotten,https://www.youtube.com/playlist?list=OLAK5uy_mCJgXu_HTKvwxPVZbSupxlPyMpP-WYv3o
Suffocation,Souls To Deny,https://www.youtube.com/playlist?list=OLAK5uy_mlbDBxY8sET3WXknFCfTg4Za_Ohi7xc40
Deeds of Flesh,Reduced to Ashes,https://www.youtube.com/playlist?list=OLAK5uy_n0y1bQZ-D7eaTkYcsQRHugqW82fHQmX7c
Element,The Energy,https://www.youtube.com/playlist?list=OLAK5uy_lpy-ugLRcMmDN5JMZP7cZzYxWs5OaG2jU
Element,Aeons Past,https://www.youtube.com/playlist?list=OLAK5uy_mt6gfm-_AdF9L68AFwF6YKhnwcOcolU58
Slow Pulp,Deleted Scenes,https://www.youtube.com/playlist?list=OLAK5uy_mh0HUMnTBygOe5U6YevvzxCSqj3WQVN7o
Slow Pulp,Moveys,https://www.youtube.com/playlist?list=OLAK5uy_ktot5Bldf6-OU_QCEVzszoxc9n2mgrtdM
Slow Pulp,Yard,https://www.youtube.com/playlist?list=OLAK5uy_lHxPtzjU7OK9rbCg-aOBrYrCWPTXeEuK8
Mark Kozelek,The Finally Lp,https://www.youtube.com/playlist?list=OLAK5uy_k1Dhz1v7Wyg7Pkoawi2pTTw4pS2coqKG0
